http://www.isfdb.org/cgi-bin/title.cgi?7701,The Midwich Cuckoos
http://www.isfdb.org/cgi-bin/title.cgi?14877,They Walked Like Men
http://www.isfdb.org/cgi-bin/title.cgi?1118695,La machine du pouvoir
http://www.isfdb.org/cgi-bin/title.cgi?1339006,Pour patrie, l'espace
http://www.isfdb.org/cgi-bin/title.cgi?1040289,Le signe du chien
http://www.isfdb.org/cgi-bin/title.cgi?7382,Le temps n'a pas d'odeur
http://www.isfdb.org/cgi-bin/title.cgi?1376612,Le satellite sombre
http://www.isfdb.org/cgi-bin/title.cgi?2355,The Black Cloud
http://www.isfdb.org/cgi-bin/title.cgi?6874,Le temple du passé
http://www.isfdb.org/cgi-bin/title.cgi?17331,Foundation and Empire
http://www.isfdb.org/cgi-bin/title.cgi?9017,Seed of Light
http://www.isfdb.org/cgi-bin/title.cgi?1376618,L'ère des Biocybs
http://www.isfdb.org/cgi-bin/title.cgi?17095,Second Foundation
http://www.isfdb.org/cgi-bin/title.cgi?1192028,Piège sur Zarkass
http://www.isfdb.org/cgi-bin/title.cgi?899,The War Against the Rull
http://www.isfdb.org/cgi-bin/title.cgi?20172,Outside the Universe
http://www.isfdb.org/cgi-bin/title.cgi?38080,The Machineries of Joy
http://www.isfdb.org/cgi-bin/title.cgi?1969,A Fall of Moondust
http://www.isfdb.org/cgi-bin/title.cgi?1969,A Fall of Moondust
http://www.isfdb.org/cgi-bin/title.cgi?8418,Crisis 2000
http://www.isfdb.org/cgi-bin/title.cgi?58364,And So Died Riabouchinska
http://www.isfdb.org/cgi-bin/title.cgi?767,A for Andromeda
http://www.isfdb.org/cgi-bin/title.cgi?241151,A Small Armageddon
http://www.isfdb.org/cgi-bin/title.cgi?966850,L'éternel Adam
http://www.isfdb.org/cgi-bin/title.cgi?768,Andromeda Breakthrough
http://www.isfdb.org/cgi-bin/title.cgi?1041752,Válka s mloky
http://www.isfdb.org/cgi-bin/title.cgi?4750,Marooned
http://www.isfdb.org/cgi-bin/title.cgi?4750,Marooned
http://www.isfdb.org/cgi-bin/title.cgi?11453,Cosmic Engineers
http://www.isfdb.org/cgi-bin/title.cgi?8419,The Darkest of Nights
http://www.isfdb.org/cgi-bin/title.cgi?1193777,La mort vivante
http://www.isfdb.org/cgi-bin/title.cgi?13569,Dandelion Wine
http://www.isfdb.org/cgi-bin/title.cgi?3568,The Drowned World
http://www.isfdb.org/cgi-bin/title.cgi?31505,The Enemy Stars
http://www.isfdb.org/cgi-bin/title.cgi?2084,The Door Into Summer
http://www.isfdb.org/cgi-bin/title.cgi?2439,All Flesh Is Grass
http://www.isfdb.org/cgi-bin/title.cgi?3554,The Duplicators
http://www.isfdb.org/cgi-bin/title.cgi?14246,Rogue Ship
http://www.isfdb.org/cgi-bin/title.cgi?3570,The Crystal World
http://www.isfdb.org/cgi-bin/title.cgi?8422,High Vacuum
http://www.isfdb.org/cgi-bin/title.cgi?23788,City
http://www.isfdb.org/cgi-bin/title.cgi?1908,The Forgotten Planet
http://www.isfdb.org/cgi-bin/title.cgi?1502,The Moon Is a Harsh Mistress
http://www.isfdb.org/cgi-bin/title.cgi?1502,The Moon Is a Harsh Mistress
http://www.isfdb.org/cgi-bin/title.cgi?1426,The Kraken Wakes
http://www.isfdb.org/cgi-bin/title.cgi?9011,Transit
http://www.isfdb.org/cgi-bin/title.cgi?14874,Why Call Them Back from Heaven?
http://www.isfdb.org/cgi-bin/title.cgi?6130,Farnham's Freehold
http://www.isfdb.org/cgi-bin/title.cgi?6130,Farnham's Freehold
http://www.isfdb.org/cgi-bin/title.cgi?5266,War of the Wing-Men
