Número,Título,Autor,Co-autor,Ano de Publicação,Título original,Tradutor,Co-tradutor,Ano de edição,index
258,Os Cruzados do Espaço,Pierre Barbet,,1979,L'Empire du Baphomet,Eurico da Fonseca,,1972,259
259,Triplanetária,E E Doc Smith,,1979,Triplanetary,Eurico da Fonseca,,1934,260
260,A Última Cidade de Marte,Ray Bradbury,,1979,I Sing the Body Electric,Eurico da Fonseca,,1969,261
261,Exploradores do Infinito,Ray Cummings,,1979,Explorers Into Infinity,Eurico da Fonseca,,1965,262
262,Os Herdeiros das Estrelas,Clifford D Simak,,1979,A Heritage of Stars,Eurico da Fonseca,,1977,263
263,Mundo sem Morte,Philip José Farmer,,1979,To Your Scattered Bodies Go,Eurico da Fonseca,,1971,264
264,A Nave Invencível,Stanislaw Lem,,1979,Niezwyciezony,Eurico da Fonseca,,1964,265
265,O Planeta Secreto,E E Doc Smith,,1979,First Lensman,Eurico da Fonseca,,1950,266
266,Acidente Nuclear,Lester del Rey,,1979,Nerves,Eurico da Fonseca,,1956,267
267,O Tempo dos Mastodontes,Clifford D Simak,,1979,Mastodomia,Eurico da Fonseca,,1978,268
268,Viagem Para Além da Morte,Philip José Farmer,,1979,The Fabulous Riverboat,Eurico da Fonseca,,1971,269
269,Cidadão da Galáxia,Robert A Heinlein,,1979,Citizen of the Galaxy,Eurico da Fonseca,,1957,270
270,Patrulha Galáctica,E E Doc Smith,,1980,Galactic Patrol,Eurico da Fonseca,,1950,271
271,O Tempo da Magia,Randall Garrett,,1980,Too Many Magicians,Eurico da Fonseca,,1966,272
272,Desígnio Negro 1º volume,Philip José Farmer,,1980,The Dark Design,Eurico da Fonseca,,1977,273
273,Desígnio Negro 2º volume,Philip José Farmer,,1980,The Dark Design,Eurico da Fonseca,,1977,274
274,A Irmandade do Talismã,Clifford D Simak,,1980,The Fellowship of the Talisman,Eurico da Fonseca,,1978,275
275,Heróis Galácticos,E E Doc Smith,,1980,Gray Lensman,Eurico da Fonseca,,1951,276
276,O Feiticeiro de Terramar,Ursula K LeGuin,,1980,A Wizard of Earthsea,Eurico da Fonseca,,1968,277
277,O Planeta dos Deuses,Isaac Asimov,,1980,The Gods Themselves,Eurico da Fonseca,,1972,278
278,A Revolta das Máquinas 1º volume,Clifford D Simak,,1980,Skirmish,Eurico da Fonseca,,1977,279
279,A Revolta das Máquinas 2º volume,Clifford D Simak,,1980,Skirmish,Eurico da Fonseca,,1977,280
280,A Teia do Tempo,Michael Kurland,,1980,The Unicorn Girl,Eurico da Fonseca,,1969,281
281,Terra Imperial 1º volume,Arthur C Clarke,,1980,Imperial Earth,Eurico da Fonseca,,1975,282
282,Terra Imperial 2º volume,Arthur C Clarke,,1981,Imperial Earth,Eurico da Fonseca,,1975,283
283,O Dia em que o Tempo Parou,Philip José Farmer,,1981,The Day of Timestop,Eurico da Fonseca,,1960,284
284,Os Túmulos de Atuan,Ursula K LeGuin,,1981,The Tombs of Atuan,Eurico da Fonseca,,1971,285
285,A Última Revolta na Terra,A E Van Vogt,,1981,Renaissance,Eurico da Fonseca,,1979,286
286,Os Visitantes 1º volume,Clifford D Simak,,1981,The Visitors,Eurico da Fonseca,,1980,287
287,Os Visitantes 2º volume,Clifford D Simak,,1981,The Visitors,Eurico da Fonseca,,1980,288
288,A Lei do Espaço,E E Doc Smith,,1981,Second Stage Lensman,Eurico da Fonseca,,1953,289
289,O Labirinto Mágico 1º volume,Philip José Farmer,,1981,The Magic Labyrinth,Eurico da Fonseca,,1980,290
290,O Labirinto Mágico 2º volume,Philip José Farmer,,1981,The Magic Labyrinth,Eurico da Fonseca,,1980,291
291,O Labirinto Mágico 3º volume,Philip José Farmer,,1981,The Magic Labyrinth,Eurico da Fonseca,,1980,292
292,Os Jogos do Capricórnio,Robert Silverberg,,1981,Capricorn Games,Eurico da Fonseca,,1976,293
293,O Outro Lado do Mundo,Ursula K LeGuin,,1981,The Farthest Shore,Eurico da Fonseca,,1972,294
294,O Número do Monstro 1º volume,Robert A Heinlein,,1981,The Number of the Beast,Eurico da Fonseca,,1979,295
295,O Número do Monstro 2º volume,Robert A Heinlein,,1981,The Number of the Beast,Eurico da Fonseca,,1979,296
296,O Número do Monstro 3º volume,Robert A Heinlein,,1981,The Number of the Beast,Eurico da Fonseca,,1979,297
297,O Planeta dos Dragões 1º volume,Anne McCaffrey,,1982,,Eurico da Fonseca,,1982,298
298,O Planeta dos Dragões 2º volume,Anne McCaffrey,,1982,,Eurico da Fonseca,,1982,299
299,O Planeta dos Dragões 3º volume,Anne McCaffrey,,1982,,Eurico da Fonseca,,1982,300
300,O Mistério de Valis 1º volume,Philip K Dick,,1982,Valis,Eurico da Fonseca,,1981,301
301,O Mistério de Valis 2º volume,Philip K Dick,,1982,Valis,Eurico da Fonseca,,1981,302
302,Os Filhos do Cosmos,E E Doc Smith,,1982,Children of the Lens,Eurico da Fonseca,,1954,303
303,O Mundo do Trono,Gordon R Dickson,,1982,Wolfling,Eurico da Fonseca,,1969,304
304,Longe da Terra,Marion Zimmer Bradley,,1982,Survey Ship,Eurico da Fonseca,,1980,305
305,O Deus da Fúria,Philip K Dick,Roger Zelazny,1982,Deus Irae,Eurico da Fonseca,,1976,306
306,A Solução de Ceres,Bob Shaw,,1983,The Ceres Solution,Eurico da Fonseca,,1981,307
307,Prisioneiros do Poder 1º volume,Arkadi Strugatski,Boris Strugatski,1983,????????? ??????,Eurico da Fonseca,,1971,308
308,Prisioneiros do Poder 2º volume,Arkadi Strugatski,Boris Strugatski,1983,????????? ??????,Eurico da Fonseca,,1971,309
309,Depois da Bomba,Philip K Dick,,1983,Dr Bloodmoney or How we Got Along After the Bomb,Eurico da Fonseca,,1965,310
310,O Homem sem Rosto,Jack Vance,,1983,The Anome,Eurico da Fonseca,,1971,311
311,Projecto Papa 1º volume,Clifford D Simak,,1983,Project Pope,Eurico da Fonseca,,1981,312
312,Projecto Papa 2º volume,Clifford D Simak,,1983,Project Pope,Eurico da Fonseca,,1981,313
313,Os Senhores do Vórtice,E E Doc Smith,,1983,The Vortex Blaster,Eurico da Fonseca,,1960,314
314,O Dragão Branco 1º volume,Anne McCaffrey,,1983,The White Dragon,Eurico da Fonseca,,1978,315
315,O Dragão Branco 2º volume,Anne McCaffrey,,1983,The White Dragon,Eurico da Fonseca,,1978,316
316,O Homem Duplo,Philip K Dick,,1983,A Scanner Darkly,Eurico da Fonseca,,1977,317
317,Rendez-vous com Rama,Arthur C Clarke,,1983,Rendez-vous With Rama,Eurico da Fonseca,,1972,318
318,Amor no Cosmos,Philip José Farmer,,1984,The Lovers,Eurico da Fonseca,,1961,319
319,Expulsos da Terra,Ursula K LeGuin,,1984,The Eye of the Heron,Eurico da Fonseca,,1978,320
320,Mensagens do Futuro,vários,Isaac Asimov (org),1984,The Future in Question,Eurico da Fonseca,,1980,321
321,A Conquista de Marte 1º volume,William Rollo,,1984,The Olympus Gambit,Eurico da Fonseca,,1983,322
322,A Conquista de Marte 2º volume,William Rollo,,1984,The Olympus Gambit,Eurico da Fonseca,,1983,323
323,O Mundo do Caos,Clifford D Simak,,1984,Special Deliverance,Eurico da Fonseca,,1982,324
324,Espião Interestelar,Poul Anderson,,1984,Ensign Flandry,Eurico da Fonseca,,1966,325
325,A Conquista das Estrelas 1º volume,James P Hogan,,1984,Voyage From Yesteryear,Eurico da Fonseca,,1982,326
326,A Conquista das Estrelas 2º volume,James P Hogan,,1984,Voyage From Yesteryear,Eurico da Fonseca,,1982,327
327,O Que Será o Futuro,vários,Isaac Asimov (org),1984,The Future in Question,Eurico da Fonseca,,1980,328
328,A Invasão Divina,Philip K Dick,,1984,The Divine Invasion,Eurico da Fonseca,,1981,329
329,Detective Galáctico,Jack Vance,,1984,Galactic Effectuator,Eurico da Fonseca,,1980,330
330,Pesadelo Cósmico,Bob Shaw,,1984,Dagger of the Mind,Eurico da Fonseca,,1979,331
331,Muito Depois da Meia-Noite 1º volume,Ray Bradbury,,1985,Long After Midnight,Eurico da Fonseca,,1976,332
332,Muito Depois da Meia-Noite 2º volume,Ray Bradbury,,1985,Long After Midnight,Eurico da Fonseca,,1976,333
333,Nave-Mundo,Brian Aldiss,,1985,Non-Stop,Eurico da Fonseca,,1958,334
334,Os Dias Futuros,Arthur C Clarke,,1985,The Best of Arthur C Clarke 1937-1955,Eurico da Fonseca,,1973,335
335,O Senhor das Estrelas,Robert Sheckley,,1985,Dramocles,Eurico da Fonseca,,1983,336
336,O Homem Mais Importante do Mundo,Philip K Dick,,1985,Time Out of Joint,Eurico da Fonseca,,1959,337
337,Os Caçadores do Espaço,E E Doc Smith,,1985,Spacehounds of IPC,Eurico da Fonseca,,1947,338
338,Onde Mora o Mal,Clifford D Simak,,1985,Where the Devil Dwells,Eurico da Fonseca,,1982,339
339,Tempo de Mudança,Robert Silverberg,,1985,A Time of Changes,Eurico da Fonseca,,1971,340
340,Regresso ao Mundo do Rio 1º volume,Philip José Farmer,,1985,The Gods of Riverworld,Eurico da Fonseca,,1983,341
341,Regresso ao Mundo do Rio 2º volume,Philip José Farmer,,1985,The Gods of Riverworld,Eurico da Fonseca,,1983,342
342,A Arma Impossível,Philip K Dick,,1985,The Zap Gun,Eurico da Fonseca,,1967,343
343,Universos Paralelos,Philip José Farmer,,1986,The Gate of Time,Eurico da Fonseca,,1966,344
344,A Máquina da Paz,Bob Shaw,,1986,Ground Zero Man,Eurico da Fonseca,,1971,345
345,A Mais Bela da Lua,Larry Niven,,1986,The Patchwork Girl,Fernando Brites da Fonseca,,1980,346
346,O Beco dos Malditos,Roger Zelazny,,1986,Damnation Alley,Eurico da Fonseca,,1969,347
347,Moreta de Pern 1º volume,Anne McCaffrey,,1986,Moreta,Eduardo Saló,,1983,348
348,Moreta de Pern 2º volume,Anne McCaffrey,,1986,Moreta,Eduardo Saló,,1983,349
349,O Mundo Perdido,Arthur Conan Doyle,,1986,The Lost World,J Lima da Costa,,1912,350
350,O Homem que Via o Futuro,James Blish,,1986,Jack of Eagles,Eduardo Saló,,1952,351
351,O Prado dos Duendes 1º volume,Paul Cook,,1986,Duende Meadow,Eduardo Saló,,1985,352
352,O Prado dos Duendes 2º volume,Paul Cook,,1986,Duende Meadow,Eduardo Saló,,1985,353
353,Bill o Herói Galáctico,Harry Harrison,,1986,Bill the Galactic Hero,Eurico da Fonseca,,1965,354
354,A Outra Ilha do Dr Moreau,Brian Aldiss,,1986,Moreau's Other Island,Eurico da Fonseca,,1980,355
355,A Porta das Estrelas 1º volume,Frederik Pohl,,1987,Gateway,Eurico da Fonseca,,1977,356
356,A Porta das Estrelas 2º volume,Frederik Pohl,,1987,Gateway,Eurico da Fonseca,,1977,357
359-A,A Estrada da Eternidade 2º volume,Clifford D Simak,,1987,Highway of Eternity,Eurico da Fonseca,,1986,358
357,O Dia em que a Terra Gritou,Arthur Conan Doyle,,1987,The Poison Belt,J Lima da Costa,,1964,359
358,Quando os Computadores Conquistaram o Mundo,A E Van Vogt,,1987,Computerworld,Ana Paula Senos de Araújo,,1983,360
359,A Estrada da Eternidade 1º volume,Clifford D Simak,,1987,Highway of Eternity,Eurico da Fonseca,,1986,361
360,Nas Nossas Mãos as Estrelas,Harry Harrison,,1987,In Our Hands the Stars,Eurico da Fonseca,,1970,362
361,A Luz e as Trevas,L Sprague de Camp,,1987,Lest Darkness Fall,Eurico da Fonseca,,1941,363
362,O Planeta Fantasma,Bob Shaw,,1987,A Wreath of Stars,Eurico da Fonseca,,1976,364
363,As Linguagens de Pao,Jack Vance,,1987,The Languages of Pao,Raul de Sousa Machado,,1958,365
364,A Hora da Inteligência,Poul Anderson,,1987,Brain Wave,Raul de Sousa Machado,,1954,366
365,Para Além do Acontecer 1º volume,Frederik Pohl,,1987,Beyond the Blue Event Horizon,Eurico da Fonseca,,1980,367
366,Para Além do Acontecer 2º volume,Frederik Pohl,,1988,Beyond the Blue Event Horizon,Eurico da Fonseca,,1980,368
367,Null-A Três,A E Van Vogt,,1988,Null-A 3,Eduardo Saló,,1984,369
368,Mundos sem Fim,Clifford D Simak,,1988,Worlds Without End,Raul de Sousa Machado,,1952,370
369,Frankenstein Libertado,Brian Aldiss,,1988,Frankenstein Unbound,Raul de Sousa Machado,,1973,371
370,O Mundo de Rocannon,Ursula K LeGuin,,1988,Rocannon's World,Eurico da Fonseca,,1966,372
371,Tintagel,Paul Cook,,1988,Tintagel,Eduardo Saló,,1981,373
372,A Praga do Espaço,Harry Harrison,,1988,Plague From Space,Raul de Sousa Machado,,1985,374
373,O Mistério de Mercúrio,Bob Shaw,,1988,Fire Pattern,Raul de Sousa Machado,,1984,375
374,Agente de Bizâncio 1º volume,Harry Turtledove,,1988,Agent of Byzantium,Eurico da Fonseca,,1987,376
375,Agente de Bizâncio 2º volume,Harry Turtledove,,1988,Agent of Byzantium,Eurico da Fonseca,,1987,377
376,Reflexos do Futuro,vários,Bruce Sterling (org),1988,Mirrorshades,Eduardo Saló,,1986,378
377,Mensagem do Futuro,James P Hogan,,1988,Thrice Upon a Time,Raul de Sousa Machado,,1980,379
378,Encontro com os Heechee,Frederik Pohl,,1989,Heechee Rendezvous,Raul de Sousa Machado,,1984,380
379,O Gato que Atravessa as Paredes 1º volume,Robert A Heinlein,,1989,The Cat Who Walks Through Walls,Clarisse Tavares,,1985,381
380,O Gato que Atravessa as Paredes 2º volume,Robert A Heinlein,,1989,The Cat Who Walks Through Walls,Clarisse Tavares,,1985,382
381,Anticorpos,David J Skal,,1989,Antibodies,Samuel Soares,,1988,383
382,Quando o Céu Caiu,John Barnes,,1989,The Man Who Pulled Down the Sky,Raul de Sousa Machado,,1987,384
383,Planeta do Exílio,Ursula K LeGuin,,1989,Planet of Exile,Raul de Sousa Machado,,1966,385
384,Dorsai,Gordon R Dickson,,1989,Dorsai!,Raul de Sousa Machado,,1959,386
385,Os Anais dos Heechee,Frederik Pohl,,1989,The Annals of the Heechee,Raul de Sousa Machado,,1987,387
386,Roderick,John Sladek,,1989,Roderick,Samuel Soares,,1980,388
387,A Máquina Preservadora 1º volume,Philip K Dick,,1989,The Preserving Machine,Raul de Sousa Machado,,1969,389
388,Os Olhos de Heisenberg,Frank Herbert,,1989,The Eyes of Heisenberg,Eduardo Saló,,1966,390
389,Os Dorsai Perdidos,Gordon R Dickson,,1989,Lost Dorsai,Raul de Sousa Machado,,1980,391
390,A Máquina Preservadora 2º volume,Philip K Dick,,1990,The Preserving Machine,Raul de Sousa Machado,,1969,392
391,A Cidade das Ilusões,Ursula K LeGuin,,1990,City of Illusions,Raul de Sousa Machado,,1967,393
392,Metrófago 1º volume,Richard Kadrey,,1990,Metrophage,Eduardo Saló,,1988,394
393,Metrófago 2º volume,Richard Kadrey,,1990,Metrophage,Eduardo Saló,,1988,395
394,Pêndulo,A E Van Vogt,,1990,Pendulum,Eduardo Saló,,1978,396
395,A Nave das Sombras,vários,Isaac Asimov (org),1990,The Hugo Winners Volume Three,Raul de Sousa Machado,,1977,397
396,Missão Espacial,Chris Claremont,,1990,First Flight,Raul de Sousa Machado,,1987,398
397,A Torre de Cristal,Robert Silverberg,,1990,The Tower of Glass,Raul de Sousa Machado,,1970,399
398,Mistérios do Futuro,John E Stith,,1990,Deep Quarry,Eurico Fonseca,,1989,400
399,O Pé do Diabo,Arthur Conan Doyle,,1990,The Adventure of the Devil's Foot,Catarina Lima,,1990,401
400,O Homem Eterno 1º volume,Gordon R Dickson,,1990,The Forever Man,Raul de Sousa Machado,,1986,402
401,O Homem Eterno 2º volume,Gordon R Dickson,,1990,The Forever Man,Raul de Sousa Machado,,1986,403
402,O Dia Depois do Juízo Final,James Blish,,1991,The Day After Judgement,Raul de Sousa Machado,,1971,404
403,Vozes do Futuro,Isaac Asimov (org creditado),Shawna McCarthy (org real),1991,Isaac Asimov's Tomorrow's Voices,Samuel Soares,,1984,405
404,O Mundo de Midas 1º volume,Frederik Pohl,,1991,Midas World,Samuel Soares,,1983,406
405,O Mundo de Midas 2º volume,Frederik Pohl,,1991,Midas World,Samuel Soares,,1983,407
406,Necromante,Gordon R Dickson,,1991,Necromancer,Samuel Soares,,1962,408
407,Missão de Vingança,A Bertram Chandler,,1991,The Road to the Rim,Eurico da Fonseca,,1967,409
408,Os Balonautas 1º volume,Bob Shaw,,1991,The Ragged Astronauts,Samuel Soares,,1986,410
409,Os Balonautas 2º volume,Bob Shaw,,1991,The Ragged Astronauts,Samuel Soares,,1986,411
410,Essas Estrelas são Nossas,Poul Anderson,,1991,We Claim These Stars,Samuel Soares,,1959,412
411,Bugs,John Sladek,,1991,Bugs,António Porto,,1989,413
412,Mundo-Nosso,Harry Harrison,,1991,Homeworld,António Porto,,1980,414
413,Soldado da Terra 1º volume,Gordon R Dickson,,1991,Soldier Ask Not,António Porto,,1967,415
414,Soldado da Terra 2º volume,Gordon R Dickson,,1992,Soldier Ask Not,António Porto,,1967,416
415,O Tempo o Espaço e o Cérebro,Fritz Leiber,,1992,The Big Time,António Porto,,1957,417
416,Os Negros Anos Luz,Brian Aldiss,,1992,The Dark Light Years,António Porto,,1964,418
417,Cemitério de Lunáticos 1º volume,Ray Bradbury,,1992,Graveyard for Lunatics,António Porto,,1990,419
418,Cemitério de Lunáticos 2º volume,Ray Bradbury,,1992,Graveyard for Lunatics,António Porto,,1990,420
419,Há Mais Coisas no Céu,John Brunner,,1992,More Things in Heaven,António Porto,,1973,421
420,Desvio Para o Vermelho 1º volume,John E Stith,,1992,Redshift Rendezvous,António Porto,,1990,422
421,Desvio Para o Vermelho 2º volume,John E Stith,,1992,Redshift Rendezvous,António Porto,,1990,423
422,O Espírito de Dorsai,Gordon R Dickson,,1992,The Spirit of Dorsai,António Porto,,1979,424
423,Viagem Pelos Universos,James Blish,,1992,Anywhen,António Porto,,1971,425
424,Imortalidade e Cª,Robert Sheckley,,1992,Immortality Inc,António Porto,,1959,426
425,O Mundo Perdido no Fundo do Mar,Arthur Conan Doyle,,1992,The Maracot Deep,J Lima da Costa,,1929,427
426,Estrela Caída,James Blish,,1993,The Frozen Year,António Porto,,1957,428
427,O Homem do Castelo Alto 1º volume,Philip K Dick,,1993,The Man in the High Castle,António Porto,,1962,429
428,O Homem do Castelo Alto 2º volume,Philip K Dick,,1993,The Man in the High Castle,António Porto,,1962,430
429,A Chegada dos Terrenos,Leigh Brackett,,1993,The Coming of the Terrans,António Porto,,1967,431
430,O Mundo dos Anjos,S N Lewitt,,1993,Angel at Apogee,António Porto,,1987,432
431,O Senhor dos Sonhos,Roger Zelazny,,1993,The Dream Master,António Porto,,1966,433
432,O Correio do Tempo,Robert Silverberg,,1993,Up the Line,Abel Coimbra,,1969,434
433,Páscoa Negra,James Blish,,1993,Black Easter,Raul Gonçalves,,1968,435
434,Tácticas de Engano 1º volume,Gordon R Dickson,,1993,Tactics of Mistake,António Porto,,1971,436
435,Tácticas de Engano 2º volume,Gordon R Dickson,,1993,Tactics of Mistake,António Porto,,1971,437
436,O Tempo dos Simulacros,Philip K Dick,,1993,The Simulacra,António Porto,,1964,438
437,Traidor aos Vivos,Philip José Farmer,,1993,Traitor to the Living,António Porto,,1973,439
438,O Xadrez do Tempo,James Blish,,1994,The Quincunx of Time,António Porto,,1973,440
439,As Naves de Madeira 1º volume,Bob Shaw,,1994,The Wooden Spaceships,António Porto,,1987,441
440,As Naves de Madeira 2º volume,Bob Shaw,,1994,The Wooden Spaceships,António Porto,,1987,442
441,Os Jogadores de Titã,Philip K Dick,,1994,The Game-Players of Titan,António Porto,,1963,443
442,Mundo Adormecido,Gordon R Dickson,,1994,Sleepwalker's World,J Santos Tavares,,1971,444
443,Doutor Mirabilis 1º volume,James Blish,,1994,Doctor Mirabilis,António Porto,,1964,445
444,Doutor Mirabilis 2º volume,James Blish,,1994,Doctor Mirabilis,António Porto,,1964,446
445,Um Demónio no Cérebro,Frederik Pohl,,1994,A Plague of Pythons,J Santos Tavares,,1964,447
446,O Universo de Morton,A E Van Vogt,,1994,The Universe Maker,António Porto,,1953,448
447,Os Mundos Fugitivos 1º volume,Bob Shaw,,1994,The Fugitive Worlds,António Porto,,1989,449
448,Os Mundos Fugitivos 2º volume,Bob Shaw,,1994,The Fugitive Worlds,António Porto,,1989,450
449,Contos Galácticos,James Blish,,1994,Galactic Cluster,António Porto,,1959,451
450,A Incrível Invasão,Lester del Rey,,1995,Siege Perilous,António Porto,,1966,452
451,Roderick à Solta 1º volume,John Sladek,,1995,Roderick at Random,António Porto,,1983,453
452,Roderick à Solta 2º volume,John Sladek,,1995,Roderick at Random,António Porto,,1983,454
453,Dare a Colónia Perdida,Philip José Farmer,,1995,Dare,António Porto,,1965,455
454,A Era das Aves,James Blish,,1995,Midsummer Century,António Porto,,1972,456
455,Tempos Duros 1º volume,C J Cherryh,,1995,Heavy Time,Clarisse Tavares,,1991,457
456,Tempos Duros 2º volume,C J Cherryh,,1995,Heavy Time,Clarisse Tavares,,1991,458
457,Outros Dias Outros Olhos,Bob Shaw,,1995,Other Days Other Eyes,Clarisse Tavares,,1972,459
458,A Canção dos Dragões,Anne McCaffrey,,1995,Dragonsong,Raul Gonçalves,,1976,460
459,Os Cantores do Tempo 1º volume,Frederik Pohl,Jack Williamson,1995,The Singers of Time,Clarisse Tavares,,1991,461
460,Os Cantores do Tempo 2º volume,Frederik Pohl,Jack Williamson,1995,The Singers of Time,Clarisse Tavares,,1991,462
461,O Fogo e a Noite,Philip José Farmer,,1995,Fire and the Night,Raul Gonçalves,,1962,463
462,As Estrelas Como Palco,James Blish,,1996,And All the Stars a Stage,J Santos Tavares,,1971,464
463,Os Últimos Dias da Terra 1º volume,Brian Aldiss,,1996,The Long Afternoon of Earth,Clarisse Tavares,,1962,465
464,Os Últimos Dias da Terra 2º volume,Brian Aldiss,,1996,The Long Afternoon of Earth,Clarisse Tavares,,1962,466
465,As Luzes do Espaço,Bob Shaw,,1996,Night Walk,Clarisse Tavares,,1967,467
466,Ilhas no Céu,Arthur C Clarke,,1996,Islands in the Sky,Clarisse Tavares,,1952,468
467,A Cantora dos Dragões 1º volume,Anne McCaffrey,,1996,Dragonsinger,Raul Gonçalves,,1977,469
468,A Cantora dos Dragões 2º volume,Anne McCaffrey,,1996,Dragonsinger,Raul Gonçalves,,1977,470
469,As Vozes do Céu 1º volume,Frederik Pohl,,1996,The Voices of Heaven,J Santos Tavares,,1994,471
470,As Vozes do Céu 2º volume,Frederik Pohl,,1996,The Voices of Heaven,J Santos Tavares,,1994,472
471,Batalha no Cosmos,Gordon R Dickson,,1996,Naked to the Stars,Eurico da Fonseca,,1961,473
472,Fora de Jogo,Isidore Haiblum,,1996,Out of Sync,J Santos Tavares,,1990,474
473,Estranhos Inimigos 1º volume,Robert Asprin,,1996,The Bug Wars,Eurico da Fonseca,,1979,475
474,Estranhos Inimigos 2º volume,Robert Asprin,,1996,The Bug Wars,Eurico da Fonseca,,1979,476
475,Além do Inferno,Philip José Farmer,,1997,Inside Outside,Eurico da Fonseca,,1964,477
476,Os Tambores dos Dragões,Anne McCaffrey,,1997,Dragondrums,Eduardo Saló,,1979,478
477,A Vinda do Futuro,Edmund Cooper,,1997,Tomorrow Came,Eurico da Fonseca,,1963,479
478,A Boneca do Destino 1º volume,Clifford D Simak,,1997,Destiny Doll,Clarisse Tavares,,1971,480
479,A Boneca do Destino 2º volume,Clifford D Simak,,1997,Destiny Doll,Clarisse Tavares,,1971,481
480,Renascimento,Brian Aldiss,,1997,Earthworks,Clarisse Tavares,,1965,482
481,Para Além da Porta das Estrelas 1º volume,Frederik Pohl,,1997,The Gateway Trip,Clarisse Tavares,,1990,483
482,Para Além da Porta das Estrelas 2º volume,Frederik Pohl,,1997,The Gateway Trip,Clarisse Tavares,,1990,484
483,As Estrelas são dos Homens,James Blish,,1997,They Shall Have Stars,Alexandra Tavares,,1956,485
484,Os Mutantes vêm aí! 1º volume,Isidore Haiblum,,1997,The Mutants Are Coming,Alexandra Tavares,,1984,486
485,Os Mutantes vêm aí! 2º volume,Isidore Haiblum,,1997,The Mutants Are Coming,Alexandra Tavares,,1984,487
486,Vivendo no Céu,James Blish,,1998,A Life for the Stars,Alexandra Tavares,,1962,488
487,Crónicas do Fim do Mundo,Poul Anderson,,1998,The Horn of Time,A Maldonado Domingues,,1968,489
488,A Terra é uma Ideia Boa 1º volume,James Blish,,1998,Earthman Come Home,Alexandra Tavares,,1956,490
489,A Terra é uma Ideia Boa 2º volume,James Blish,,1998,Earthman Come Home,Alexandra Tavares,,1956,491
490,A Árvore da Saliva,Brian Aldiss,,1998,The Saliva Tree,Alexandra Tavares,,1966,492
491,O Triunfo do Tempo,James Blish,,1998,The Triumph of Time,Alexandra Tavares,,1958,493
492,No Oceano da Noite 1º volume,Gregory Benford,,1998,In the Ocean of Night,Alexandra Tavares,,1976,494
493,No Oceano da Noite 2º volume,Gregory Benford,,1998,In the Ocean of Night,Alexandra Tavares,,1976,495
494,Os Cavalos da Noite 1º volume,C J Cherryh,,1998,Cloud's Rider,Alexandra Tavares,,1996,496
495,Os Cavalos da Noite 2º volume,C J Cherryh,,1998,Cloud's Rider,Alexandra Tavares,,1996,497
496,Além do Mar dos Sóis 1º volume,Gregory Benford,,1998,Across the Sea of Suns,Alexandra Santos Tavares,,1984,498
497,Além do Mar dos Sóis 2º volume,Gregory Benford,,1999,Across the Sea of Suns,Alexandra Santos Tavares,,1984,499
498,O Enigma de Malacia 1º volume,Brian Aldiss,,1999,The Malacia Tapestry,Alexandra Santos Tavares,,1976,500
499,O Enigma de Malacia 2º volume,Brian Aldiss,,1999,The Malacia Tapestry,Alexandra Santos Tavares,,1976,501
500,Ó Pioneiro!,Frederik Pohl,,1999,O Pioneer!,Alexandra Santos Tavares,,1998,502
501,A História de Nerilka,Anne McCaffrey,,1999,Nerilka's Story A Pern Adventure,Alexandra Santos Tavares,,1986,503
502,Passagem Para o Passado 1º volume,Isidore Haiblum,,1999,Transfer to Yesterday,Alexandra Santos Tavares,,1973,504
503,Passagem Para o Passado 2º volume,Isidore Haiblum,,1999,Transfer to Yesterday,Alexandra Santos Tavares,,1973,505
504,A Companhia de Phule 1º volume,Robert Asprin,,1999,Phule's Company,Alexandra Santos Tavares,,1990,506
505,A Companhia de Phule 2º volume,Robert Asprin,,1999,Phule's Company,Alexandra Santos Tavares,,1990,507
506,Criptozóica,Brian Aldiss,,1999,An Age,Alexandra Santos Tavares,,1967,508
507,As Trevas Além das Estrelas 1º volume,Frank M Robinson,,1999,The Dark Beyond the Stars,Alexandra Tavares,,1981,509
508,As Trevas Além das Estrelas 2º volume,Frank M Robinson,,1999,The Dark Beyond the Stars,Alexandra Tavares,,1981,510
509,Conduzindo às Cegas,Ray Bradbury,,2000,Driving Blind,Alexandra Santos Tavares,,1997,511
510,O Paraíso de Phule 1º volume,Robert Asprin,,2000,Phule's Paradise,Alexandra Santos Tavares,,1992,512
511,O Paraíso de Phule 2º volume,Robert Asprin,,2000,Phule's Paradise,Alexandra Santos Tavares,,1992,513
512,Rota de Colisão,Robert Silverberg,,2000,Collision Course,Alexandra Santos Tavares,,1961,514
513,O Planeta das Virgens,Poul Anderson,,2000,Virgin Planet,Alexandra Santos Tavares,,1959,515
514,O Homem Duplicado,James Blish,Robert Lowndes,2000,The Duplicated Man,Alexandra Santos Tavares,,1953,516
515,O Mundo de Amanhã,Hunt Collins,,2000,Tomorrow's World,Alexandra Santos Tavares,,1956,517
516,A Conquista da Imortalidade,Robert Sheckley,,2000,Immortality Inc,Alexandra Santos Tavares,,1959,518
517,O Exílio do Tempo,Ray Cummings,,2000,The Exile of Time,Alexandra Santos Tavares,,1931,519
518,Cidade na Lua,Murray Leinster,,2000,City on the Moon,Alexandra Santos Tavares,,1957,520
519,O Espaço Exterior,Bertram Chandler,,2000,The Rim of Space,Alexandra Santos Tavares,,1961,521
