Numero,Titulo,Autor,Co-autor,Ano-de-Publicacao,Titulo-original,Tradutor,Co-tradutor,Ano-de-edicao,alias,Autor2-alias,Tradutor1-alias,Tradutor2-alias,Titulo-link,Capa,pags,Capa-link,Serie,anterior,seguinte,Livro-isfdb,Livro-isfdb-original,Livro-bibliowiki
138,A Máquina Divina 1º volume,Martin Caidin,,1969,The God Machine,Eurico da Fonseca,,1968,Martin-Caidin,,Eurico-da-Fonseca,,138-A-Maquina-Divina-1-volume,Lima de Freitas,205,Lima-de-Freitas,,137-Os-Filhos-de-Matusalem,139-A-Maquina-Divina-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373557,http://www.isfdb.org/cgi-bin/title.cgi?4761,"/index.php/A_M%C3%A1quina_Divina_(LdB,_1969,_1%C2%BA_volume)"
139,A Máquina Divina 2º volume,Martin Caidin,,1969,The God Machine,Eurico da Fonseca,,1968,Martin-Caidin,,Eurico-da-Fonseca,,139-A-Maquina-Divina-2-volume,Lima de Freitas,208,Lima-de-Freitas,,138-A-Maquina-Divina-1-volume,140-Projecto-Animal,http://www.isfdb.org/cgi-bin/pl.cgi?373570,http://www.isfdb.org/cgi-bin/title.cgi?4761,"/index.php/A_M%C3%A1quina_Divina_(LdB,_1969,_2%C2%BA_volume)"
140,Projecto Animal,Charles Eric Maine,,1969,BEAST,Eurico da Fonseca,,1966,Charles-Eric-Maine,,Eurico-da-Fonseca,,140-Projecto-Animal,Lima de Freitas,188,Lima-de-Freitas,,139-A-Maquina-Divina-2-volume,141-Terra-Insolita-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373571,http://www.isfdb.org/cgi-bin/title.cgi?8415,/index.php/Projecto:_Animal
141,Terra Insólita 1º volume,Clifford D Simak,,1969,The Werewolf Principle,Eurico da Fonseca,,1967,Clifford-D-Simak,,Eurico-da-Fonseca,,141-Terra-Insolita-1-volume,Lima de Freitas,147,Lima-de-Freitas,,140-Projecto-Animal,142-Terra-Insolita-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373214,http://www.isfdb.org/cgi-bin/title.cgi?14875,"/index.php/Terra_Ins%C3%B3lita_(LdB,_1969,_1%C2%BA_volume)"
142,Terra Insólita 2º volume,Clifford D Simak,,1969,The Werewolf Principle,Eurico da Fonseca,,1967,Clifford-D-Simak,,Eurico-da-Fonseca,,142-Terra-Insolita-2-volume,Lima de Freitas,153,Lima-de-Freitas,,141-Terra-Insolita-1-volume,143-Planeta-Proibido,http://www.isfdb.org/cgi-bin/pl.cgi?373215,http://www.isfdb.org/cgi-bin/title.cgi?14875,"/index.php/Terra_Ins%C3%B3lita_(LdB,_1969,_2%C2%BA_volume)"
143,Planeta Proibido,Murray Leinster,,1969,This World is Taboo,Eurico da Fonseca,,1961,Murray-Leinster,,Eurico-da-Fonseca,,143-Planeta-Proibido,Lima de Freitas,147,Lima-de-Freitas,Med Service,142-Terra-Insolita-2-volume,144-Homens-sem-Mundo,http://www.isfdb.org/cgi-bin/pl.cgi?373572,http://www.isfdb.org/cgi-bin/title.cgi?3533,/index.php/Planeta_Proibido
144,Homens sem Mundo,Poul Anderson,,1969,No World of Their Own,Eurico da Fonseca,,1955,Poul-Anderson,,Eurico-da-Fonseca,,144-Homens-sem-Mundo,Lima de Freitas,180,Lima-de-Freitas,,143-Planeta-Proibido,145-Bomba-H-Sobre-Los-Angeles,http://www.isfdb.org/cgi-bin/pl.cgi?373573,http://www.isfdb.org/cgi-bin/title.cgi?5331,/index.php/Homens_sem_Mundo
145,Bomba H Sobre Los Angeles,Robert M Williams,,1969,The Day They H-Bombed Los Angeles,Eurico da Fonseca,,1961,Robert-M-Williams,,Eurico-da-Fonseca,,145-Bomba-H-Sobre-Los-Angeles,Lima de Freitas,172,Lima-de-Freitas,,144-Homens-sem-Mundo,146-Depois-do-Fim-do-Mundo,http://www.isfdb.org/cgi-bin/pl.cgi?373574,http://www.isfdb.org/cgi-bin/title.cgi?22203,/index.php/Bomba_H_Sobre_Los_Angeles
146,Depois do Fim do Mundo,Poul Anderson,,1969,After Doomsday,Eurico da Fonseca,,1962,Poul-Anderson,,Eurico-da-Fonseca,,146-Depois-do-Fim-do-Mundo,Lima de Freitas,176,Lima-de-Freitas,,145-Bomba-H-Sobre-Los-Angeles,147-Partida-sem-Chegada,http://www.isfdb.org/cgi-bin/pl.cgi?373575,http://www.isfdb.org/cgi-bin/title.cgi?5340,/index.php/Depois_do_Fim_do_Mundo
147,Partida sem Chegada,Lloyd Biggle Jr,,1969,All the Colours of Darkness,Eurico da Fonseca,,1963,Lloyd-Biggle-Jr,,Eurico-da-Fonseca,,147-Partida-sem-Chegada,Lima de Freitas,175,Lima-de-Freitas,,146-Depois-do-Fim-do-Mundo,148-O-Tempo-dos-Duendes,http://www.isfdb.org/cgi-bin/pl.cgi?373576,http://www.isfdb.org/cgi-bin/title.cgi?4562,/index.php/Partida_sem_Chegada
148,O Tempo dos Duendes,Clifford D Simak,,1969,The Goblin Reservation,Eurico da Fonseca,,1968,Clifford-D-Simak,,Eurico-da-Fonseca,,148-O-Tempo-dos-Duendes,Lima de Freitas,181,Lima-de-Freitas,,147-Partida-sem-Chegada,149-Mundo-Alternante,http://www.isfdb.org/cgi-bin/pl.cgi?373577,http://www.isfdb.org/cgi-bin/title.cgi?1865,/index.php/O_Tempo_dos_Duendes
149,Mundo Alternante,Keith Laumer,,1969,Worlds of the Imperium,Eurico da Fonseca,,1962,Keith-Laumer,,Eurico-da-Fonseca,,149-Mundo-Alternante,Lima de Freitas,151,Lima-de-Freitas,,148-O-Tempo-dos-Duendes,150-Sonho-Mortal,http://www.isfdb.org/cgi-bin/pl.cgi?373578,http://www.isfdb.org/cgi-bin/title.cgi?787,/index.php/Mundo_Alternante
150,Sonho Mortal,E C Tubb,,1969,Death is a Dream,Eurico da Fonseca,,1967,E-C-Tubb,,Eurico-da-Fonseca,,150-Sonho-Mortal,Lima de Freitas,177,Lima-de-Freitas,,149-Mundo-Alternante,151-Missao-Impossivel,http://www.isfdb.org/cgi-bin/pl.cgi?373579,http://www.isfdb.org/cgi-bin/title.cgi?676117,/index.php/Sonho_Mortal
151,Missão Impossível,Frederik Pohl,Jack Williamson,1970,The Reefs of Space,Eurico da Fonseca,,1964,Frederik-Pohl,Jack-Williamson,Eurico-da-Fonseca,,151-Missao-Impossivel,Lima de Freitas,176,Lima-de-Freitas,Starchild,150-Sonho-Mortal,152-Piratas-do-Espaco,http://www.isfdb.org/cgi-bin/pl.cgi?373580,http://www.isfdb.org/cgi-bin/title.cgi?3516,/index.php/Miss%C3%A3o_Imposs%C3%ADvel
152,Piratas do Espaço,Murray Leinster,,1970,The Pirates of Zan,Eurico da Fonseca,,1959,Murray-Leinster,,Eurico-da-Fonseca,,152-Piratas-do-Espaco,Lima de Freitas,174,Lima-de-Freitas,,151-Missao-Impossivel,153-A-Guerra-dos-Deuses,http://www.isfdb.org/cgi-bin/pl.cgi?373581,http://www.isfdb.org/cgi-bin/title.cgi?1387,/index.php/Piratas_do_Espa%C3%A7o_(Leinster)
153,A Guerra dos Deuses,A E Van Vogt,,1970,Two Hundred Million A D,Eurico da Fonseca,,1943,A-E-Van-Vogt,,Eurico-da-Fonseca,,153-A-Guerra-dos-Deuses,Lima de Freitas,174,Lima-de-Freitas,,152-Piratas-do-Espaco,154-Vieram-do-Espaco,http://www.isfdb.org/cgi-bin/pl.cgi?373582,http://www.isfdb.org/cgi-bin/title.cgi?14252,/index.php/A_Guerra_dos_Deuses_(Vogt)
154,Vieram do Espaço,Keith Roberts,,1970,The Furies,Eurico da Fonseca,,1966,Keith-Roberts,,Eurico-da-Fonseca,,154-Vieram-do-Espaco,Lima de Freitas,211,Lima-de-Freitas,,153-A-Guerra-dos-Deuses,155-Ultimato-à-Terra,http://www.isfdb.org/cgi-bin/pl.cgi?373583,http://www.isfdb.org/cgi-bin/title.cgi?22674,/index.php/Vieram_do_Espa%C3%A7o
155,Ultimato à Terra,Frederik Pohl,Jack Williamson,1970,Starchild,Eurico da Fonseca,,1965,Frederik-Pohl,Jack-Williamson,Eurico-da-Fonseca,,155-Ultimato-à-Terra,Lima de Freitas,187,Lima-de-Freitas,Starchild,154-Vieram-do-Espaco,156-Os-Super-Homens,http://www.isfdb.org/cgi-bin/pl.cgi?373584,http://www.isfdb.org/cgi-bin/title.cgi?3517,/index.php/Ultimato_%C3%A0_Terra
156,Os Super-Homens,A E Van Vogt,,1970,The Silkie,Eurico da Fonseca,,1969,A-E-Van-Vogt,,Eurico-da-Fonseca,,156-Os-Super-Homens,Lima de Freitas,179,Lima-de-Freitas,,155-Ultimato-à-Terra,157-Plataforma-Espacial,http://www.isfdb.org/cgi-bin/pl.cgi?373585,http://www.isfdb.org/cgi-bin/title.cgi?14245,/index.php/Os_Super-Homens
157,Plataforma Espacial,Murray Leinster,,1970,Unknown Danger,Eurico da Fonseca,,1969,Murray-Leinster,,Eurico-da-Fonseca,,157-Plataforma-Espacial,Lima de Freitas,152,Lima-de-Freitas,,156-Os-Super-Homens,158-Utopia-14-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373586,http://www.isfdb.org/cgi-bin/title.cgi?3564,/index.php/Plataforma_Espacial
158,Utopia 14 1º volume,Kurt Vonnegut,,1970,Player Piano,Eurico da Fonseca,,1952,Kurt-Vonnegut,,Eurico-da-Fonseca,,158-Utopia-14-1-volume,Lima de Freitas,182,Lima-de-Freitas,,157-Plataforma-Espacial,159-Utopia-14-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373568,http://www.isfdb.org/cgi-bin/title.cgi?8395,"/index.php/Utopia_14_(LdB,_1970,_1%C2%BA_volume)"
159,Utopia 14 2º volume,Kurt Vonnegut,,1970,Player Piano,Eurico da Fonseca,,1952,Kurt-Vonnegut,,Eurico-da-Fonseca,,159-Utopia-14-2-volume,Lima de Freitas,180,Lima-de-Freitas,,158-Utopia-14-1-volume,160-Sangue-da-Terra,http://www.isfdb.org/cgi-bin/pl.cgi?373558,http://www.isfdb.org/cgi-bin/title.cgi?8395,"/index.php/Utopia_14_(LdB,_1970,_2%C2%BA_volume)"
160,Sangue da Terra,Keith Laumer,Rosel George Brown,1970,Earthblood,Eurico da Fonseca,,1966,Keith-Laumer,Rosel-George-Brown,Eurico-da-Fonseca,,160-Sangue-da-Terra,Lima de Freitas,209,Lima-de-Freitas,,159-Utopia-14-2-volume,161-O-Construtor-de-Universos,http://www.isfdb.org/cgi-bin/pl.cgi?373559,http://www.isfdb.org/cgi-bin/title.cgi?2028,/index.php/Sangue_da_Terra
161,O Construtor de Universos,Philip José Farmer,,1970,The Maker of Universes,Eurico da Fonseca,,1965,Philip-Jose-Farmer,,Eurico-da-Fonseca,,161-O-Construtor-de-Universos,Lima de Freitas,169,Lima-de-Freitas,,160-Sangue-da-Terra,162-Areias-de-Marte,http://www.isfdb.org/cgi-bin/pl.cgi?373563,http://www.isfdb.org/cgi-bin/title.cgi?1584,/index.php/O_Construtor_de_Universos
162,Areias de Marte,Arthur C Clarke,,1970,Sands of Mars,Eurico da Fonseca,,1951,Arthur-C-Clarke,,Eurico-da-Fonseca,,162-Areias-de-Marte,Lima de Freitas,182,Lima-de-Freitas,,161-O-Construtor-de-Universos,163-Mundos-Paralelos,http://www.isfdb.org/cgi-bin/pl.cgi?373561,http://www.isfdb.org/cgi-bin/title.cgi?743721,/index.php/Areias_de_Marte
163,Mundos Paralelos,Clifford D Simak,,1971,Out of Their Minds,Eurico da Fonseca,,1969,Clifford-D-Simak,,Eurico-da-Fonseca,,163-Mundos-Paralelos,Lima de Freitas,171,Lima-de-Freitas,,162-Areias-de-Marte,164-Loucura-no-Espaco,http://www.isfdb.org/cgi-bin/pl.cgi?373560,http://www.isfdb.org/cgi-bin/title.cgi?14878,/index.php/Mundos_Paralelos_(Simak)
164,Loucura no Espaço,Murray Leinster,,1971,Doctor to the Stars,Eurico da Fonseca,,1964,Murray-Leinster,,Eurico-da-Fonseca,,164-Loucura-no-Espaco,Lima de Freitas,157,Lima-de-Freitas,Med Service,163-Mundos-Paralelos,165-O-Caos-Suicida,http://www.isfdb.org/cgi-bin/pl.cgi?373564,http://www.isfdb.org/cgi-bin/title.cgi?37115,/index.php/Loucura_no_Espa%C3%A7o
165,O Caos Suicida,Edmund Cooper,,1971,All Fools' Day,Eurico da Fonseca,,1966,Edmund-Cooper,,Eurico-da-Fonseca,,165-O-Caos-Suicida,Lima de Freitas,178,Lima-de-Freitas,,164-Loucura-no-Espaco,166-Segredo-Interstelar,http://www.isfdb.org/cgi-bin/pl.cgi?373562,http://www.isfdb.org/cgi-bin/title.cgi?9021,/index.php/O_Caos_Suicida
166,Segredo Interstelar,Alexei Panshin,,1971,Star Well,Eurico da Fonseca,,1968,Alexei-Panshin,,Eurico-da-Fonseca,,166-Segredo-Interstelar,Lima de Freitas,176,Lima-de-Freitas,,165-O-Caos-Suicida,167-Estrela-Errante,http://www.isfdb.org/cgi-bin/pl.cgi?373221,http://www.isfdb.org/cgi-bin/title.cgi?2611,/index.php/Segredo_Interstelar
167,Estrela Errante,Frederik Pohl,Jack Williamson,1971,Rogue Star,Eurico da Fonseca,,1969,Frederik-Pohl,Jack-Williamson,Eurico-da-Fonseca,,167-Estrela-Errante,Lima de Freitas,201,Lima-de-Freitas,Starchild,166-Segredo-Interstelar,168-A-Guerra-dos-Fantasmas,http://www.isfdb.org/cgi-bin/pl.cgi?373565,http://www.isfdb.org/cgi-bin/title.cgi?3518,/index.php/Estrela_Errante
168,A Guerra dos Fantasmas,Lloyd Biggle Jr,,1971,The Angry Espers,Eurico da Fonseca,,1961,Lloyd-Biggle-Jr,,Eurico-da-Fonseca,,168-A-Guerra-dos-Fantasmas,Lima de Freitas,152,Lima-de-Freitas,,167-Estrela-Errante,169-Um-Cantico-para-Leibowitz-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373567,http://www.isfdb.org/cgi-bin/title.cgi?4561,/index.php/A_Guerra_dos_Fantasmas
169,Um Cântico para Leibowitz 1º volume,Walter M Miller Jr,,1971,A Canticle for Leibowitz,Eurico da Fonseca,,1959,Walter-M-Miller-Jr,,Eurico-da-Fonseca,,169-Um-Cantico-para-Leibowitz-1-volume,Lima de Freitas,152,Lima-de-Freitas,,168-A-Guerra-dos-Fantasmas,170-Um-Cantico-para-Leibowitz-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373569,http://www.isfdb.org/cgi-bin/title.cgi?2283,"/index.php/Um_C%C3%A2ntico_para_Leibowitz_(LdB,_1971,_1%C2%BA_volume)"
170,Um Cântico para Leibowitz 2º volume,Walter M Miller Jr,,1971,A Canticle for Leibowitz,Eurico da Fonseca,,1959,Walter-M-Miller-Jr,,Eurico-da-Fonseca,,170-Um-Cantico-para-Leibowitz-2-volume,Lima de Freitas,169,Lima-de-Freitas,,169-Um-Cantico-para-Leibowitz-1-volume,171-Um-Cantico-para-Leibowitz-3-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373566,http://www.isfdb.org/cgi-bin/title.cgi?2283,"/index.php/Um_C%C3%A2ntico_para_Leibowitz_(LdB,_1971,_2%C2%BA_volume)"
171,Um Cântico para Leibowitz 3º volume,Walter M Miller Jr,,1971,A Canticle for Leibowitz,Eurico da Fonseca,,1959,Walter-M-Miller-Jr,,Eurico-da-Fonseca,,171-Um-Cantico-para-Leibowitz-3-volume,Lima de Freitas,175,Lima-de-Freitas,,170-Um-Cantico-para-Leibowitz-2-volume,172-Quando-os-Marcianos-Vieram,http://www.isfdb.org/cgi-bin/pl.cgi?373587,http://www.isfdb.org/cgi-bin/title.cgi?2283,"/index.php/Um_C%C3%A2ntico_para_Leibowitz_(LdB,_1971,_3%C2%BA_volume)"
172,Quando os Marcianos Vieram,Edmund Cooper,,1971,The Last Continent,Eurico da Fonseca,,1969,Edmund-Cooper,,Eurico-da-Fonseca,,172-Quando-os-Marcianos-Vieram,Lima de Freitas,185,Lima-de-Freitas,,171-Um-Cantico-para-Leibowitz-3-volume,173-A-Sete-Degraus-do-Sol,http://www.isfdb.org/cgi-bin/pl.cgi?373588,http://www.isfdb.org/cgi-bin/title.cgi?9018,/index.php/Quando_os_Marcianos_Vieram
173,A Sete Degraus do Sol,Fred Hoyle,Geoffrey Hoyle,1971,Seven Steps to the Sun,Eurico da Fonseca,,1970,Fred-Hoyle,Geoffrey-Hoyle,Eurico-da-Fonseca,,173-A-Sete-Degraus-do-Sol,Lima de Freitas,171,Lima-de-Freitas,,172-Quando-os-Marcianos-Vieram,174-Trombetas-da-Revolucao,http://www.isfdb.org/cgi-bin/pl.cgi?373589,http://www.isfdb.org/cgi-bin/title.cgi?12085,/index.php/A_Sete_Degraus_do_Sol
174,Trombetas da Revolução,Lloyd Biggle Jr,,1971,The Still Small Voice of Trumpets,Eurico da Fonseca,,1969,Lloyd-Biggle-Jr,,Eurico-da-Fonseca,,174-Trombetas-da-Revolucao,Lima de Freitas,183,Lima-de-Freitas,,173-A-Sete-Degraus-do-Sol,175-O-Mundo-do-Abismo,http://www.isfdb.org/cgi-bin/pl.cgi?373590,http://www.isfdb.org/cgi-bin/title.cgi?4560,/index.php/Trombetas_da_Revolu%C3%A7%C3%A3o
175,O Mundo do Abismo,James White,,1972,The Watch Below,Eurico da Fonseca,,1966,James-White,,Eurico-da-Fonseca,,175-O-Mundo-do-Abismo,Lima de Freitas,227,Lima-de-Freitas,,174-Trombetas-da-Revolucao,176-O-Outro-Lado-do-Espaco,http://www.isfdb.org/cgi-bin/pl.cgi?373591,http://www.isfdb.org/cgi-bin/title.cgi?4239,/index.php/O_Mundo_do_Abismo
176,O Outro Lado do Espaço,Fred Hoyle,,1972,Ossian's Ride,Eurico da Fonseca,,1961,Fred-Hoyle,,Eurico-da-Fonseca,,176-O-Outro-Lado-do-Espaco,Lima de Freitas,173,Lima-de-Freitas,,175-O-Mundo-do-Abismo,177-Os-Filhos-do-Futuro-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373604,http://www.isfdb.org/cgi-bin/title.cgi?505101,/index.php/O_Outro_Lado_do_Espa%C3%A7o
177,Os Filhos do Futuro 1º volume,A E Van Vogt,,1972,Children of Tomorrow,Eurico da Fonseca,,1970,A-E-Van-Vogt,,Eurico-da-Fonseca,,177-Os-Filhos-do-Futuro-1-volume,Lima de Freitas,164,Lima-de-Freitas,,176-O-Outro-Lado-do-Espaco,178-Os-Filhos-do-Futuro-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373605,http://www.isfdb.org/cgi-bin/title.cgi?21902,"/index.php/Os_Filhos_do_Futuro_(LdB,_1972,_1%C2%BA_volume)"
178,Os Filhos do Futuro 2º volume,A E Van Vogt,,1972,Children of Tomorrow,Eurico da Fonseca,,1970,A-E-Van-Vogt,,Eurico-da-Fonseca,,178-Os-Filhos-do-Futuro-2-volume,Lima de Freitas,189,Lima-de-Freitas,,177-Os-Filhos-do-Futuro-1-volume,179-O-Dia-em-que-o-Sol-Desapareceu,http://www.isfdb.org/cgi-bin/pl.cgi?373606,http://www.isfdb.org/cgi-bin/title.cgi?21902,"/index.php/Os_Filhos_do_Futuro_(LdB,_1972,_2%C2%BA_volume)"
179,O Dia em que o Sol Desapareceu,Frederik Pohl,C M Kornbluth,1972,Wolfbane,Eurico da Fonseca,,1957,Frederik-Pohl,C-M-Kornbluth,Eurico-da-Fonseca,,179-O-Dia-em-que-o-Sol-Desapareceu,Lima de Freitas,189,Lima-de-Freitas,,178-Os-Filhos-do-Futuro-2-volume,180-A-Terra-dos-Sonhos-Felizes,http://www.isfdb.org/cgi-bin/pl.cgi?373607,http://www.isfdb.org/cgi-bin/title.cgi?3980,/index.php/O_Dia_em_que_o_Sol_Desapareceu
180,A Terra dos Sonhos Felizes,John Brunner,,1972,The Dreaming Earth,Eurico da Fonseca,,1963,John-Brunner,,Eurico-da-Fonseca,,180-A-Terra-dos-Sonhos-Felizes,Lima de Freitas,181,Lima-de-Freitas,,179-O-Dia-em-que-o-Sol-Desapareceu,181-Prisao-Aberta,http://www.isfdb.org/cgi-bin/pl.cgi?373608,http://www.isfdb.org/cgi-bin/title.cgi?3295,/index.php/A_Terra_dos_Sonhos_Felizes
181,Prisão Aberta,James White,,1972,The Escape Orbit,Eurico da Fonseca,,1965,James-White,,Eurico-da-Fonseca,,181-Prisao-Aberta,Lima de Freitas,185,Lima-de-Freitas,,180-A-Terra-dos-Sonhos-Felizes,182-Estrada-da-Gloria-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373609,http://www.isfdb.org/cgi-bin/title.cgi?4238,/index.php/Pris%C3%A3o_Aberta
182,Estrada da Glória 1º volume,Robert A Heinlein,,1972,Glory Road,Eurico da Fonseca,,1963,Robert-A-Heinlein,,Eurico-da-Fonseca,,182-Estrada-da-Gloria-1-volume,Lima de Freitas,212,Lima-de-Freitas,Glory Road,181-Prisao-Aberta,183-Estrada-da-Gloria-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373228,http://www.isfdb.org/cgi-bin/title.cgi?1867,"/index.php/Estrada_da_Gl%C3%B3ria_(LdB,_1972,_1%C2%BA_volume)"
183,Estrada da Glória 2º volume,Robert A Heinlein,,1972,Glory Road,Eurico da Fonseca,,1963,Robert-A-Heinlein,,Eurico-da-Fonseca,,183-Estrada-da-Gloria-2-volume,Lima de Freitas,212,Lima-de-Freitas,Glory Road,182-Estrada-da-Gloria-1-volume,184-O-Deus-Impassivel,http://www.isfdb.org/cgi-bin/pl.cgi?373610,http://www.isfdb.org/cgi-bin/title.cgi?1867,"/index.php/Estrada_da_Gl%C3%B3ria_(LdB,_1972,_2%C2%BA_volume)"
184,O Deus Impassível,Clifford D Simak,,1972,A Choice of Gods,Eurico da Fonseca,,1972,Clifford-D-Simak,,Eurico-da-Fonseca,,184-O-Deus-Impassivel,Lima de Freitas,186,Lima-de-Freitas,,183-Estrada-da-Gloria-2-volume,185-Batalha-Amarga,http://www.isfdb.org/cgi-bin/pl.cgi?373612,http://www.isfdb.org/cgi-bin/title.cgi?2242,/index.php/O_Deus_Impass%C3%ADvel
185,Batalha Amarga,Frederik Pohl,,1972,Drunkard's Walk,Eurico da Fonseca,,1960,Frederik-Pohl,,Eurico-da-Fonseca,,185-Batalha-Amarga,Lima de Freitas,163,Lima-de-Freitas,,184-O-Deus-Impassivel,186-O-Planeta-Neutral,http://www.isfdb.org/cgi-bin/pl.cgi?373613,http://www.isfdb.org/cgi-bin/title.cgi?11455,/index.php/Batalha_Amarga
186,O Planeta Neutral,Poul Anderson,,1972,Mayday Orbit,Eurico da Fonseca,,1961,Poul-Anderson,,Eurico-da-Fonseca,,186-O-Planeta-Neutral,Lima de Freitas,167,Lima-de-Freitas,,185-Batalha-Amarga,187-O-Terceiro-Ouvido,http://www.isfdb.org/cgi-bin/pl.cgi?373614,http://www.isfdb.org/cgi-bin/title.cgi?62698,/index.php/O_Planeta_Neutral
187,O Terceiro Ouvido,Curt Siodmak,,1973,The Third Ear,Eurico da Fonseca,,1971,Curt-Siodmak,,Eurico-da-Fonseca,,187-O-Terceiro-Ouvido,Lima de Freitas,181,Lima-de-Freitas,,186-O-Planeta-Neutral,188-Os-Mercadores-do-Espaco,http://www.isfdb.org/cgi-bin/pl.cgi?373229,http://www.isfdb.org/cgi-bin/title.cgi?2093,/index.php/O_Terceiro_Ouvido
188,Os Mercadores do Espaço,Frederik Pohl,C M Kornbluth,1973,The Space Merchants,Eurico da Fonseca,,1952,Frederik-Pohl,C-M-Kornbluth,Eurico-da-Fonseca,,188-Os-Mercadores-do-Espaco,Lima de Freitas,158,Lima-de-Freitas,,187-O-Terceiro-Ouvido,189-Busca-nos-Ceus,http://www.isfdb.org/cgi-bin/pl.cgi?373230,http://www.isfdb.org/cgi-bin/title.cgi?1159,/index.php/Os_Mercadores_do_Espa%C3%A7o
189,Busca nos Céus,Frederik Pohl,C M Kornbluth,1973,Search the Sky,Eurico da Fonseca,,1954,Frederik-Pohl,C-M-Kornbluth,Eurico-da-Fonseca,,189-Busca-nos-Ceus,Lima de Freitas,177,Lima-de-Freitas,,188-Os-Mercadores-do-Espaco,190-Agencia-de-Magicos,http://www.isfdb.org/cgi-bin/pl.cgi?373615,http://www.isfdb.org/cgi-bin/title.cgi?3979,/index.php/Busca_nos_C%C3%A9us
190,Agência de Mágicos,Robert A Heinlein,,1973,Waldo and Magic Inc,Eurico da Fonseca,,1950,Robert-A-Heinlein,,Eurico-da-Fonseca,,190-Agencia-de-Magicos,Lima de Freitas,173,Lima-de-Freitas,,189-Busca-nos-Ceus,191-Juventude-Eterna,http://www.isfdb.org/cgi-bin/pl.cgi?373616,http://www.isfdb.org/cgi-bin/title.cgi?32831,/index.php/Ag%C3%AAncia_de_M%C3%A1gicos_(colect%C3%A2nea)
191,Juventude Eterna,E C Tubb,,1973,S T A R Flight,Eurico da Fonseca,,1969,E-C-Tubb,,Eurico-da-Fonseca,,191-Juventude-Eterna,Lima de Freitas,167,Lima-de-Freitas,,190-Agencia-de-Magicos,192-O-Homem-que-Pintava-as-Estrelas,http://www.isfdb.org/cgi-bin/pl.cgi?373617,http://www.isfdb.org/cgi-bin/title.cgi?2747,/index.php/Juventude_Eterna
192,O Homem que Pintava as Estrelas,Lan Wright,,1973,The Pictures of Pavanne,Eurico da Fonseca,,1968,Lan-Wright,,Eurico-da-Fonseca,,192-O-Homem-que-Pintava-as-Estrelas,Lima de Freitas,201,Lima-de-Freitas,,191-Juventude-Eterna,193-Depois-da-Derrocada,http://www.isfdb.org/cgi-bin/pl.cgi?373618,http://www.isfdb.org/cgi-bin/title.cgi?9486,/index.php/O_Homem_que_Pintava_as_Estrelas
193,Depois da Derrocada,Philip E High,,1973,These Savage Futurians,Eurico da Fonseca,,1969,Philip-E-High,,Eurico-da-Fonseca,,193-Depois-da-Derrocada,Lima de Freitas,184,Lima-de-Freitas,,192-O-Homem-que-Pintava-as-Estrelas,194-Ninguem-Morre-Neste-Mundo,http://www.isfdb.org/cgi-bin/pl.cgi?373619,http://www.isfdb.org/cgi-bin/title.cgi?21944,/index.php/Depois_da_Derrocada
194,Ninguém Morre Neste Mundo,Frederik Pohl,,1973,The Age of the Pussyfoot,Eurico da Fonseca,,1965,Frederik-Pohl,,Eurico-da-Fonseca,,194-Ninguem-Morre-Neste-Mundo,Lima de Freitas,198,Lima-de-Freitas,,193-Depois-da-Derrocada,195-O-Ponto-omega,http://www.isfdb.org/cgi-bin/pl.cgi?373621,http://www.isfdb.org/cgi-bin/title.cgi?8156,/index.php/Ningu%C3%A9m_Morre_Neste_Mundo
195,O Ponto Ómega,George Zebrowski,,1973,The Omega Point,Eurico da Fonseca,,1972,George-Zebrowski,,Eurico-da-Fonseca,,195-O-Ponto-omega,Lima de Freitas,170,Lima-de-Freitas,,194-Ninguem-Morre-Neste-Mundo,196-A-Invasao-dos-Insectos,http://www.isfdb.org/cgi-bin/pl.cgi?373593,http://www.isfdb.org/cgi-bin/title.cgi?4970,/index.php/O_Ponto_%C3%93mega
196,A Invasão dos Insectos,Ray Cummings,,1973,The Insect Invasion,Eurico da Fonseca,,1967,Ray-Cummings,,Eurico-da-Fonseca,,196-A-Invasao-dos-Insectos,Lima de Freitas,206,Lima-de-Freitas,,195-O-Ponto-omega,197-As-Horas-de-Iraz,http://www.isfdb.org/cgi-bin/pl.cgi?373622,http://www.isfdb.org/cgi-bin/title.cgi?20689,/index.php/A_Invas%C3%A3o_dos_Insectos
