Numero,Titulo,Autor,Co-autor,Ano-de-Publicacao,Titulo-original,Tradutor,Co-tradutor,Ano-de-edicao,alias,Autor2-alias,Tradutor1-alias,Tradutor2-alias,Titulo-link,Capa,pags,Capa-link,Serie,anterior,seguinte,Livro-isfdb,Livro-isfdb-original,Livro-bibliowiki
14,Indómito Planeta,Roy Sheldon,,1955,The Metal Eater,Fernando de Castro Ferro,,1954,Roy-Sheldon,,Fernando-de-Castro-Ferro,,14-Indomito-Planeta,Cândido Costa Pinto,143,Candido-Costa-Pinto,,13-O-Cerebro-de-Donovan,15-O-Mundo-em-Perigo,http://www.isfdb.org/cgi-bin/pl.cgi?373272,http://www.isfdb.org/cgi-bin/title.cgi?2681,/index.php/Ind%C3%B3mito_Planeta
15,O Mundo em Perigo,E C Tubb,,1955,World at Bay,Fernando de Castro Ferro,,1954,E-C-Tubb,,Fernando-de-Castro-Ferro,,15-O-Mundo-em-Perigo,Cândido Costa Pinto,145,Candido-Costa-Pinto,,14-Indomito-Planeta,16-Sentinelas-do-Universo,http://www.isfdb.org/cgi-bin/pl.cgi?373273,http://www.isfdb.org/cgi-bin/title.cgi?2740,/index.php/O_Mundo_em_Perigo
16,Sentinelas do Universo,Eric Frank Russell,,1955,Sentinels from Space,Fernando Moutinho,,1953,Eric-Frank-Russell,,Fernando-Moutinho,,16-Sentinelas-do-Universo,Cândido Costa Pinto,235,Candido-Costa-Pinto,,15-O-Mundo-em-Perigo,17-Regresso-à-Pre-Historia,http://www.isfdb.org/cgi-bin/pl.cgi?373274,http://www.isfdb.org/cgi-bin/title.cgi?15258,/index.php/Sentinelas_do_Universo
17,Regresso à Pré-História,J Leslie Mitchell,,1955,Three Go Back,Fernando de Castro Ferro,,1932,J-Leslie-Mitchell,,Fernando-de-Castro-Ferro,,17-Regresso-à-Pre-Historia,Cândido Costa Pinto,190,Candido-Costa-Pinto,,16-Sentinelas-do-Universo,18-O-Homem-Ilustrado,http://www.isfdb.org/cgi-bin/pl.cgi?373282,http://www.isfdb.org/cgi-bin/title.cgi?16229,/index.php/Regresso_%C3%A0_Pr%C3%A9-Hist%C3%B3ria
18,O Homem Ilustrado,Ray Bradbury,,1955,The Illustrated Man,Eurico da Costa,,1951,Ray-Bradbury,,Eurico-da-Costa,,18-O-Homem-Ilustrado,Cândido Costa Pinto,262,Candido-Costa-Pinto,,17-Regresso-à-Pre-Historia,19-Caminhos-do-Espaco,http://www.isfdb.org/cgi-bin/pl.cgi?373405,http://www.isfdb.org/cgi-bin/title.cgi?31723,/index.php/O_Homem_Ilustrado_(CCI)
19,Caminhos do Espaço,Charles Eric Maine,,1955,Spaceways,A Maldonado Domingues,,1953,Charles-Eric-Maine,,A-Maldonado-Domingues,,19-Caminhos-do-Espaco,Cândido Costa Pinto,248,Candido-Costa-Pinto,,18-O-Homem-Ilustrado,20-A-Sexta-Coluna,http://www.isfdb.org/cgi-bin/pl.cgi?373283,http://www.isfdb.org/cgi-bin/title.cgi?8426,/index.php/Caminhos_do_Espa%C3%A7o
20,A Sexta Coluna,Robert A Heinlein,,1955,Sixth Column,Manuel de Sepúlveda,,1941,Robert-A-Heinlein,,Manuel-de-Sepulveda,,20-A-Sexta-Coluna,Cândido Costa Pinto,221,Candido-Costa-Pinto,,19-Caminhos-do-Espaco,21-As-Correntes-do-Espaco,http://www.isfdb.org/cgi-bin/pl.cgi?374165,http://www.isfdb.org/cgi-bin/title.cgi?6129,/index.php/A_Sexta_Coluna
21,As Correntes do Espaço,Isaac Asimov,,1955,The Currents of Space,Alfredo Margarido,Manuel de Sepúlveda,1952,Isaac-Asimov,,Alfredo-Margarido,Manuel-de-Sepulveda,21-As-Correntes-do-Espaco,Cândido Costa Pinto,268,Candido-Costa-Pinto,Trantorian Empire,20-A-Sexta-Coluna,22-Vigilancia-Sideral,http://www.isfdb.org/cgi-bin/pl.cgi?373284,http://www.isfdb.org/cgi-bin/title.cgi?1119,/index.php/As_Correntes_do_Espa%C3%A7o
22,Vigilância Sideral,Pierre Versins,,1955,Les Étoiles ne s'en Foutent Pas,Alfredo Margarido,,1950,Pierre-Versins,,Alfredo-Margarido,,22-Vigilancia-Sideral,Cândido Costa Pinto,160,Candido-Costa-Pinto,,21-As-Correntes-do-Espaco,23-Slan,http://www.isfdb.org/cgi-bin/pl.cgi?373285,http://www.isfdb.org/cgi-bin/title.cgi?1037055,/index.php/Vigil%C3%A2ncia_Sideral
23,Slan,A E Van Vogt,,1955,Slan,A Maldonado Domingues,,1946,A-E-Van-Vogt,,A-Maldonado-Domingues,,23-Slan,Cândido Costa Pinto,241,Candido-Costa-Pinto,Slan,22-Vigilancia-Sideral,24-A-Tentacao-Cosmica,http://www.isfdb.org/cgi-bin/pl.cgi?373287,http://www.isfdb.org/cgi-bin/title.cgi?1192,/index.php/Slan
